Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
CEM Banys de Sant Sebastià (Club Natació Atlètic Barceloneta),Coberta,79,180788,Ciutat Vella,65084,2.188633639728,1,Autoconsum,144.63,2024,41.373244891825,"Pg. de Joan de Borbó, 79"
CEM Vintró,Coberta,65,149850,Sant Martí,53946,2.186282224385,10,Autoconsum,119.88,2024,41.406830063965,"Carrer del Consell de Cent, 623, 627"
L'Auditori,Coberta,271,623713,Eixample,224537,2.185350051368,2,Autoconsum,498.97,2023,41.398705523084,"Carrer de Lepant, 150"
Institut Quatre Cantons,Coberta,32,73938,Sant Martí,26618,2.200179805315,10,Autoconsum,59.15,2023,41.404173620363,"Camí Antic de València, 37-39"
Mercat del Carmel,Coberta,22,50000,Horta-Guinardó,18000,2.155529931483,7,Autoconsum,40,2007,41.423715803929,"Carrer del Llobregós, 149"
Guingueta Fòrum,Coberta,9,21250,Sant Martí,7650,2.223861252402,10,Autoconsum,17,2022,41.408584817601,Accés Parc del Fòrum (Moll de la Vela)
Tibidabo,Coberta,22,50000,Sarrià-Sant Gervasi,18000,2.118563157889080,5,Autoconsum,40,2022,41.42010004807650,Oficines aparcament
Aparcament BSM associat Túnel de la Rovira,Coberta,57,131813,Horta-Guinardó,47453,2.165939696200,7,Autoconsum,105.45,2024,41.414605045685,"Carrer Camèlies, 80"
HPO Habitatge tutelat gent gran C/Puigcerdà,Coberta,12,28500,Sant Martí,10260,2.211548569220,10,Autoconsum,22.8,2024,41.414030916682,"Carrer Puigcerdà, 100-102"
HPO Ulldecona,Coberta,21,47288,Sants-Montjuïc,17024,2.141776611143,3,Autoconsum compartit amb compensació,37.83,2024,41.351227677214,"Carrer d'Ulldecona, 2"
HPO MPGM HD Ciutat de Granada,Coberta,4,10313,Sant Martí,3713,2.194722098056,10,Autoconsum compartit,8.25,2024,41.401037228686,"Carrer Ciutat de Granada, 95-97"
Parc Zoològic (Punt Verd),Coberta,2,4938,Ciutat Vella,1778,2.190075960602,1,Autoconsum,3.95,2024,41.386711076231,Parc de la Ciutadella
Parc Zoològic (VMP Prim),Coberta,2,4250,Ciutat Vella,1530,2.190075960602,1,Autoconsum,3.4,2024,41.386711076231,Parc de la Ciutadella
Parc Zoològic (VMP Wellington),Coberta,2,4250,Ciutat Vella,1530,2.190075960602,1,Autoconsum,3.4,2024,41.386711076231,Parc de la Ciutadella
Biblioteca Gabriel García Márquez,Coberta,17,39938,Sant Martí,14378,2.199887493712,10,Autoconsum,31.95,2023,41.417216751524,Carrer Concili de Trento amb Carrer del Treball
